"day"	"cell"	"techrep"	"biorep"	"well"	"order"	"sample"	"Curve"	"b0"	"b0.se"	"A"	"A.se"	"umax"	"umax.se"	"L"	"L.se"	"RSME"	"CV"	"outlier"	"gen"
0	"nm"	3	3	"D2"	22	"NM_g0_pop3_rep3"	"D2"	0.9268	0.00416	0.801	0.00721	0.1075	0.00265	7.0897	0.11263	0.02	1.496	0	0
20	"nm"	3	3	"D3"	23	"NM_g133_pop3_rep3"	"D3"	0.9202	0.01233	0.7612	0.01781	0.1104	0.00779	4.6452	0.29639	0.0471	3.367	0	133
40	"nm"	3	3	"D4"	24	"NM_g266_pop3_rep3"	"D4"	0.9299	0.01219	0.7836	0.01697	0.1356	0.01015	5.7961	0.27702	0.0529	3.762	1	266
60	"nm"	3	3	"D5"	25	"NM_g399_pop3_rep3"	"D5"	0.9179	0.0051	0.7096	0.01469	0.1278	0.00523	6.1657	0.13061	0.0229	1.938	0	399
100	"nm"	3	3	"D6"	26	"NM_g666_pop3_rep3"	"D6"	0.9264	0.00537	0.7992	0.0081	0.1306	0.0043	6.8981	0.1265	0.026	1.903	0	666
140	"nm"	3	3	"D7"	27	"NM_g932_pop3_rep3"	"D7"	0.9222	0.01424	0.7808	0.01874	0.1368	0.01113	4.5502	0.29109	0.0547	3.804	0	932
200	"nm"	3	3	"D8"	28	"NM_g1331_pop3_rep3"	"D8"	0.9214	0.00691	0.7805	0.00991	0.1241	0.00494	5.9092	0.15615	0.031	2.24	0	1331
240	"nm"	3	3	"D9"	29	"NM_g1598_pop3_rep3"	"D9"	0.9297	0.00544	0.7614	0.01377	0.1442	0.0051	4.8501	0.10927	0.0217	1.613	0	1598
280	"nm"	3	3	"D10"	30	"NM_g1864_pop3_rep3"	"D10"	0.9374	0.01019	0.7876	0.01362	0.1612	0.01065	6.2192	0.20992	0.0469	3.305	0	1864
1000	"jcvi"	3	3	"D11"	31	"NM_jcvi_pop3_rep3"	"D11"	0.9488	0.00717	0.8291	0.01154	0.1575	0.00845	8.4479	0.17172	0.039	2.848	0	6657
